job title,job_type,company,location,Experience Needed:,Career Level:,Education Level:,Salary:,Job Categories:,skills and tools,Job
Data Scientist/ML Engineer,Full Time,TMentors,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'10000 to 12000 EGP Per Month',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Research', 'Data Science', 'Statistics', 'SQL', 'ETL', 'Mathematics', 'Machine Learning', 'Software Engineering', 'Cloud', 'Computer Science', 'Deep Learning', 'Science', 'Engineering', 'Artificial Intelligence (AI)', 'Deep Learning Framework', 'Hadoop', 'Data Wrangling', 'Deep Neural Network (DNN)', 'Information Technology (IT)', 'mathematical'",ML Engineer
Algorithm Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Working Remotely'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Design', 'Python', 'Git', 'CUDA', 'C', 'Software', 'Software Engineering', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Algorithms', 'C++'",ML Engineer
Machine Learning Intern,Internship,Talents Arena,"Smart Village, Giza",'Not Specified','Student (Undergrad / Postgrad)',"""Bachelor's Degree""",'paid',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'Python', 'Research', 'Software', 'technical', 'Spark', 'computer', 'Computer Science', 'Information Technology (IT)', 'ML', 'Algorithms'",ML Engineer
Senior Machine Learning Engineer - Giza,Full Time,AFKAR Technology,"Giza, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Training', 'Machine Learning', 'Python', 'TensorFlow', 'Statistics', 'SQL', 'NLP', 'Programming', 'Computer Science', 'Information Technology (IT)', 'Computer Vision'",ML Engineer
QA Engineer,Full Time,34ML,"Heliopolis, Cairo",'0 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Bonus, overtime compensation, social insurance, medical insurance and salary raise'","'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'UI', 'QC', 'Software Development', 'Usability Testing', 'Software Testing', 'AngularJS', 'English', 'Test-driven Development', 'User Testing', 'Web Development', 'PHP', 'Mobile Development', 'International Software Testing Qualifications Board', 'Computer Science', 'Unit Testing', 'Automation Testing', 'QA', 'Quality Assurance', 'Mobile Testing', 'Engineering', 'Quality Control', 'Software Quality Assurance (SQA)', 'Test Cases', 'Automation', 'Testing', 'Information Technology (IT)'",ML Engineer
Senior AI Engineer,Full Time,Softec Technologies,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Development', 'AI', 'Security', 'Software', 'Software Development', 'AI.', 'Computer Science', 'Information Technology (IT)', 'English'",ML Engineer
Senior DevOps Engineer,Full Time,Tech SquAd,"6th of October, Giza",'4 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Paas', 'Git', 'AWS', 'Kubernetes', 'Software Development', 'Automation', 'Azure', 'Engineering', 'Docker', 'Computer Science', 'Information Technology (IT)', 'Jenkins', 'DevOps'",ML Engineer
Machine Learning Operations Engineer,Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Machine Learning', 'Python', 'TensorFlow', 'Software Engineering', 'Engineering', 'Design', 'Information Technology (IT)', 'Computer Vision', 'C++'",ML Engineer
AI Software Engineer (Computer Vision Operation Engineer),Full Time,Tahaluf Al Emarat Technical Solutions,"Cairo, Egypt",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Job is Remotely from our Office in Egypt'","'Operations/Management', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Frameworks', 'Kubernetes', 'Software Development', 'Software Engineering', 'Linux', 'Docker', 'Artificial Intelligence (AI)', 'Computer Science', 'AI Framework', 'DevOps', 'Information Technology (IT)'",ML Engineer
Junior iOS Mobile Developer,Full Time,34ML,"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Hybrid Work Mode, Overtime Compensation, Social Insurance, Medical Insurance & Salary Raise'","'IT/Software Development', 'Engineering - Telecom/Technology'","'iOS', 'MVC', 'Swift', 'Development', 'Mobile Applications', 'iOS Development', 'APIs', 'Objective-C', 'Mobile Development', 'Software Development', 'Software Engineering', 'Engineering', 'Programming', 'Computer Science', 'Information Technology (IT)', 'REST', 'OOP'",ML Engineer
Full Stack Technical Lead,Full Time,RDI,"Dokki, Giza",'More than 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Flask', 'Django', 'Python', 'Angular', 'Full Stack Development', 'JavaScript', 'Spring Boot'",ML Engineer
Machine Learning Interns,Internship,Corporatica,"Cairo, Egypt",'Not Specified','Student (Undergrad / Postgrad)',"""Bachelor's Degree""",'paid',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Keras', 'Machine Learning', 'Python', 'Git', 'AWS', 'TensorFlow', 'Statistics', 'Linux', 'Docker', 'Computer Science', 'Amazon AWS', 'OpenCV', 'Algorithms', 'Information Technology (IT)'",ML Engineer
Vue.Js Front-End Developer,Full Time,34ML,"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Hybrid Work Mode, Overtime Compensation, Social Insurance, Medical Insurance & Salary Raise'","'IT/Software Development', 'Engineering - Telecom/Technology', 'Creative/Design/Art'","'Vue', 'FrontEnd', 'LESS', 'UI', 'Software Development', 'AngularJS', 'CSS', 'Web Development', 'PHP', 'Objective-C', 'Mobile Development', 'Troubleshooting', 'Web Design', 'Computer Science', 'HTML5', 'Adobe Photoshop', 'JavaScript', 'Engineering', 'REST', 'Frameworks', 'Software Design', 'JQuery', 'Information Technology (IT)'",ML Engineer
Computer Vision Tech Lead,Full Time,Beyond Apps Group,"Nasr City, Cairo",'4 to 10 years','Experienced (Non-Manager)','Not Specified','Confidential',"'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Information Technology (IT)', 'Software', 'Software Development'",ML Engineer
Staff Data Scientist,Full Time,Nana,"Sheraton, Cairo",'5 to 8 years','Experienced (Non-Manager)','Not Specified','Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'data scientist', 'Development', 'Data', 'Software Development', 'Software Engineering', 'Computer Science', 'Information Technology (IT)'",ML Engineer
Senior Data Scientist,Full Time,Nana,"Sheraton, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'R', 'Machine Learning', 'data scientist', 'Python', 'Software Development', 'Cloud', 'Computer Science', 'Information Technology (IT)', 'Mathematics'",ML Engineer
Data Analyst,Full Time,Arma Foods ,"New Cairo, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Analyst/Research',"'IT', 'Analysis', 'Reporting', 'Data Analysis', 'Computer Science', 'Information Technology (IT)', 'Power BI'",Data Analyst
Senior Data Analyst PC Retail,Full Time,Allianz,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Science', 'Analysis', 'Data Analysis', 'Insurance', 'Retail', 'Information Technology (IT)'",Data Analyst
Data Analyst,Full Time,Aman Holding,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Analysis', 'Data Analysis', 'Data', 'Analyze', 'Data Analytics', 'English'",Data Analyst
Data Analyst,Full Time,Dough and More Food Industries,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'Relational Databases', 'Analysis', 'Data Analysis', 'Data Analyst', 'Software', 'Computer Science', 'Data', 'Analyst'",Data Analyst
Repair Order Specialist (Data Analyst),Full Time,OPPO Egypt ,"Nasr City, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Gender:', 'Male'",'Confidential',"'Analyst/Research', 'Customer Service/Support', 'Marketing/PR/Advertising'",Data Analyst
Data Analyst,Full Time,B.TECH,"Nasr City, Cairo",'2 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Analyst/Research'","'Analysis', 'business', 'Data Analysis', 'Tableau', 'SQL', 'Economics', 'Computer Science', 'Power BI'",Data Analyst
Senior Digital Data Analyst,Full Time,Jazeera Paints,"10th of Ramadan City, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Transportation , Social Insurance ,Medical Insurance'","'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'analytical', 'Google Analytics', 'Information Technology (IT)', 'Analysis', 'Marketing', 'business', 'Data Analysis', 'English', 'Microsoft Office', 'Computer Science', 'Data', 'Analyst'",Data Analyst
Senior Market Research Analyst,Full Time,Gap Polymers ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Social & medical insurance'","'Analyst/Research', 'Marketing/PR/Advertising', 'Business Development'","'E-Marketing', 'Sales', 'Communication', 'Information Technology', 'Data Entry', 'Collection', 'Market Research', 'Social Media', 'Data Collection', 'Marketing', 'Data'",Data Analyst
Sales Analyst,Full Time,Sun Pharma,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'MS Office', 'Sales', 'Analysis', 'Research', 'sales skills', 'Data Analysis', 'excel', 'Data', 'Sales Analysis'",Data Analyst
Senior Business Analyst,Full Time,BI-Technologies,"New Cairo, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Profit Share, Transportation, Medical Insurance, Social Insurance, Life Insurance And Retirement Plan'","'Analyst/Research', 'IT/Software Development'","'Communication skills', 'Business Analysis', 'IT', 'Business Development', 'Project Management', 'business', 'Data', 'Computer Science', 'Information Technology (IT)', 'Management'",Data Analyst
Marketing Research Analyst,Full Time,Careery For Talent Services ,"Nasr City, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'","'E-Marketing', 'analytical', 'Analysis', 'Research', 'Communication', 'Market Research', 'Social Media', 'Data Collection', 'Marketing', 'Management'",Data Analyst
System Analyst,Full Time,Qsource,"Maadi, Cairo",'3 to 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'Computer Engineering', 'Analysis', 'System Analysis', 'System Integration', 'SDLC', 'Data Analysis', 'Software Development', 'Testing', 'Design', 'Information Technology (IT)'",Data Analyst
Data Analyst,Full Time,Anasia Egypt for Trading,"Sheraton, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential','Analyst/Research',"'analytical', 'Sales', 'Analysis', 'Data Analysis', 'Data Analyst', 'Computer Skills', 'Analyst', 'BI'",Data Analyst
Senior Investment Analyst,Full Time,M² Developments,"Mohandessin, Giza",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research', 'Banking'","'analytical', 'Business Analysis', 'Analysis', 'Finance', 'excel', 'Economics', 'Financial', 'Investment', 'Accounting', 'Data'",Data Analyst
Data Quality Assurance Analyst Engineer,Full Time,Z2 Data,"Banha, Qalubia",'0 to 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Quality', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Python', 'Analysis', 'Science', 'Data Analysis', 'Communication', 'Quality Assurance', 'SQL', 'Engineering', 'Quality Control', 'Programming', 'Computer Science'",Data Analyst
Data Analyst & Forecasting Specialist- F&B,Full Time,Confidential Company - ,"Maadi, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Bonuses'","'Accounting/Finance', 'Analyst/Research', 'Business Development'","'Power BI', 'Vlookup', 'Analysis', 'Sum IF', 'Excel', 'Forecasting', 'Data Analysis', 'Data Analyst', 'Statistics', 'Economics', 'Accounting', 'Retail', 'Computer Skills', 'Pivot Table', 'English', 'BI'",Data Analyst
Data Analyst,Full Time,JoviTronix ,"Sheikh Zayed, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'6000 to 7000 EGP Per Month',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'analytical', 'Marketing', 'Analysis', 'business', 'Data Analysis', 'Statistics', 'Engineering', 'Commerce', 'Computer Science', 'Data', 'Microsoft Excel', 'Information Technology (IT)'",Data Analyst
Data Analyst Intern,Internship,TMentors,"Maadi, Cairo",'Not Specified','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'3000 to 5000 EGP Per Month',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'Analysis', 'Data Science', 'Data Analysis', 'SQL', 'Powerbi', 'ETL', 'Computer Science', 'Information Technology (IT)'",Data Analyst
Medical Data Analyst & Program Creation,Full Time,Andalusia Maadi Hospital ,"Maadi, Cairo",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Medical/Healthcare', 'Pharmaceutical'","'Medical', 'Analysis', 'Data Analysis', 'Programming', 'Pharmacy', 'Data'",Data Analyst
GIS Analyst,Full Time,Confidential Company - ,"Heliopolis, Cairo",'3 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Visual Sudio .Net', 'Telecom Engineering', 'JavaScript', 'Computer Science', 'Information Technology (IT)', 'GIS', 'HTML5'",Data Analyst
Data Analyst,Full Time,Confidential Company - ,"10th of Ramadan City, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Intelligence', 'analytical', 'Analysis', 'Project Management', 'business', 'Data Analysis', 'Data', 'Tableau', 'Computer Science', 'Information Technology (IT)', 'English', 'BI'",Data Analyst
Workforce Analyst,Full Time,Sykes Enterprises,"Maadi, Cairo",'More than 1 year','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Customer Service/Support'","'Scheduling', 'WFM', 'Customer Care', 'Analysis', 'Reporting', 'Customer Service', 'Data Analysis', 'Microsoft Power BI', 'SQL', 'Call Center', 'RTM', 'Microsoft Excel', 'Forecasting'",Data Analyst
System Analyst,Full Time,Alrayda Elkobra,"Moharam Bek, Alexandria",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'System Analysis', 'System Analyst', 'Computer Science', 'Information Technology (IT)', 'Analyst'",Data Analyst
Software Senior Business Analyst,Full Time,Softec Technologies,"Maadi, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Project/Program Management'","'Business Analysis', 'Analysis', 'System Analysis', 'Project Management', 'Communication Skills', 'Software Development', 'Computer Science', 'Information Technology (IT)', 'Technical Writing', 'Technical Analysis'",Data Analyst
Senior Business Analyst,Full Time,Caelum Egypt,"Dokki, Giza",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'Business', 'Analysis', 'System Analysis', 'Science', 'Data', 'Software', 'BOM', 'Engineering', 'Analytical', 'Computer Science', 'Information Technology (IT)'",Data Analyst
Sales Analyst,Full Time,Fatura ,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'Sales', 'Analysis', 'sales skills', 'Data Analysis', 'Sales Analysis'",Data Analyst
Financial Analyst,Full Time,Cairoscan,"Mohandessin, Giza",'5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research', 'Banking'","'analytical', 'Finance', 'excel', 'Commerce', 'Financial Analysis', 'Accounting', 'BOD', 'Auditing', 'English'",Data Analyst
Research Analyst & Market Researcher,Full Time,Icity,"Maadi, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Media/Journalism/Publishing', 'Marketing/PR/Advertising'","'E-Marketing', 'Communication skills', 'analytical', 'Analysis', 'Research', 'market', 'Communication', 'Market Research', 'Social Media', 'Marketing'",Data Analyst
Senior Financial Analyst - Giza,Full Time,Confidential Company - ,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, 2 Months Bonus + Annual Profit Share'","'Accounting/Finance', 'Analyst/Research'","'Finance', 'Financial Management', 'Commerce', 'Financial Analysis', 'Accounting'",Data Analyst
Business Analyst (Salesforce),Full Time,FlairsTech,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Communication skills', 'Business Analysis', 'Analyst', 'Analysis', 'Computer Science', 'Information Technology (IT)', 'Management', 'BI'",Data Analyst
Fintech Business Analyst / Product Owner,Full Time,Confidential Company - ,"Maadi, Cairo",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'Business Analysis', 'Analysis', 'Business Analyst', 'Information Technology (IT)', 'Analyst'",Data Analyst
Sales Analyst,Full Time,Cairo Three A  for Agricultural and Animal Production,"New Cairo, Cairo",'2 to 3 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Sales/Retail'","'Sales', 'Analysis', 'sales skills', 'FMCG', 'Sales Analysis', 'Analyst'",Data Analyst
Senior FP&A Analyst,Full Time,Confidential Company - ,"Heliopolis, Cairo",'More than 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'Spreadsheets', 'Financial Planning', 'Finance', 'Margin Analysis', 'Pricing Analysis', 'SAP', 'Financial Analysis', 'Financial Reports', 'Budgeting', 'General Ledger (GL)', 'English'",Data Analyst
Senior System Analyst,Full Time,FlairsTech,"Maadi, Cairo",'5 to 10 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'UML', 'Development', 'Design', 'Analysis', 'Agile', 'business', 'Software', 'Software Development', 'Engineering', 'Computer Science', 'Information Technology (IT)'",Data Analyst
Financial Analyst - French Speaker,Full Time,World Vest Base (WVB ),"Heliopolis, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Accounting/Finance', 'Analyst/Research'","'Analysis', 'Computer Skills', 'Microsoft Office', 'Financial Analysis', 'Financial Reports', 'Accounting', 'Oracle', 'Financial Data'",Data Analyst
Senior Big Data Engineer - Cairo,Full Time,Confidential Company - ,"Nasr City, Cairo",'4 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, We offer the highest competitive salaries in the market-Health Insurance (Medright) elite-Social Insurance-fixed Internet allowance- Additional Health Package Allowance - Mobile Allowance, Promotions.'","'IT/Software Development', 'Engineering - Telecom/Technology'","'Python', 'Agile', 'Software', 'Software Development', 'Big Data', 'Software Engineering', 'Troubleshooting', 'Engineering', 'Cloud', 'Programming', 'Computer Science', 'Information Technology (IT)'",Data Analyst
Process Improvement Senior Analyst (French Speaker),Full Time,Xceed,"6th of October, Giza",'More than 4 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Bonus - Profit Share'",'Analyst/Research',"'Business Analysis', 'Analysis', 'Quality Assurance', 'Six Sigma', 'Process Improvement', 'Green Belt', 'Quality Control', 'English'",Data Analyst
Power BI Analyst,Full Time,Confidential Company - ,"Maadi, Cairo",'1 to 4 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'analytical', 'Analyzing data', 'Information Technology (IT)', 'Powerbi', 'Data', 'Power BI'",Data Analyst
Data Governance Expert,Full Time,World of systems and software,"New Cairo, Cairo",'5 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Stewardship', 'Data Management', 'TOGAF', 'Data Governance', 'Database SQL Server', 'TOGAF®️', 'Professional Itil', 'Data Entry', 'CDMP', 'Data Governance (DG)', 'DAMA Certified', 'Computer Science', 'Information Technology (IT)', 'ITIL'",Data Analyst
Data Scientist,Full Time,Paymob Solutions,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)','Not Specified','Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Machine Learning', 'data scientist', 'Python', 'Data Science', 'AWS', 'Hadoop', 'Java', 'Statistics', 'SQL', 'Engineering', 'Computer Science', 'Data', 'Information Technology (IT)'",Data Analyst
Work Force Analyst,Full Time,Xceed,"6th of October, Giza",'More than 1 year','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""","'Confidential, Bonus, Profit Share'",'Analyst/Research',"'Workforce', 'CSR', 'Analysis', 'Planning', 'Microsoft PowerPoint', 'Arabic', 'English', 'CMD', 'Microsoft Office', 'Microsoft Word', 'Microsoft Excel', 'Microsoft Outlook', 'Reasearch'",Data Analyst
Market Research Analyst,Full Time,System Technique,"Abu Rawash, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'Marketing/PR/Advertising'","'E-Marketing', 'Analysis', 'Research', 'Web Analytics', 'Statistics', 'Market Research', 'Social Media', 'Data Collection', 'CRM', 'Marketing'",Data Analyst
Senior Corporate Financial Analyst,Full Time,Confidential Company - ,"New Cairo, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Accounting/Finance', 'Analyst/Research'","'analytical', 'SAP FICO', 'business', 'Finance', 'Commerce', 'Financial Analysis', 'SAP', 'Construction', 'Accounting'",Data Analyst
Data Collector,Full Time,Catalogz Technology,"New Cairo, Cairo",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'4000 to 6000 EGP Per Month',"'Analyst/Research', 'Administration'","'Communication skills', 'Business Development', 'Commercial', 'Communication', 'Data Entry', 'Data Collection', 'Lead Generation'",Data Analyst
Data Engineer,Full Time,Paymob Solutions,"Maadi, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Information Technology (IT)', 'Design', 'AWS', 'Hadoop', 'Java', 'Engineering', 'Cloud', 'Programming', 'Computer Science', 'Data', 'Scala'",Data Analyst
Data Engineer,Full Time,Ashtar.app,"Maadi, Cairo",'3 to 6 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Computer Engineering', 'Python', 'Analysis', 'Data Science', 'Data Analysis', 'Data', 'Software Development', 'Big Data', 'SQL', 'ETL', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'BI'",Data Analyst
Senior Performance Analyst,Full Time,Raya Customer Experience,"Maadi, Cairo",'1 to 2 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Operations/Management', 'IT/Software Development', 'Analyst/Research'","'Business Analysis', 'Analysis', 'MIS', 'excel', 'Computer Science', 'Information Technology (IT)', 'Performance Analysis', 'Six Sigma Green Belt'",Data Analyst
Senior System Analyst - Software,Full Time,Rasan,"Nasr City, Cairo",'4 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Design', 'Analysis', 'System Analysis', 'Agile', 'Database', 'Software', 'Software Development', 'SQL', 'Engineering', 'Computer Science', 'Information Technology (IT)', 'Information Systems'",Data Analyst
Senior Business Analyst - Cairo,Full Time,Gulf United Group,"Cairo, Egypt",'2 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'10000 to 18000 EGP Per Month',"'Analyst/Research', 'IT/Software Development'","'Information technology', 'Business Analysis', 'IT', 'Business Development', 'business', 'Data', 'Implementation', 'Information Technology (IT)', 'Analyst'",Data Analyst
Risk Officer/ Analyst,Full Time,Adm-Medsofts,"New Cairo, Cairo",'More than 2 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential','Analyst/Research',"'Market Research', 'Risk Management', 'Analysis', 'Research'",Data Analyst
Senior Business Analyst Corporate Loan Origination,Full Time,Veripark,"Cairo, Egypt",'10 to 20 years','Experienced (Non-Manager)','Not Specified','Confidential','Banking',"'BRD', 'Business Analysis', 'loan origination', 'corporate loans'",Data Analyst
Planning Analyst,Full Time,Cilantro,"Maadi, Cairo",'1 to 3 years','Entry Level (Junior Level / Fresh Grad)',"""Bachelor's Degree""",'Confidential',"'Logistics/Supply Chain', 'Manufacturing/Production', 'Analyst/Research'","'Business Analysis', 'Analysis', 'Planning', 'Procurement', 'FMCG', 'Supply Chain', 'Engineering'",Data Analyst
Business Research Analyst-Marketing Research,Full Time,Nile Projects & Trading,"6th of October, Giza",'5 to 7 years','Experienced (Non-Manager)',"""Bachelor's Degree""","'Confidential, Quarter Profit Share + Annual Fixed Bonus'","'Analyst/Research', 'Marketing/PR/Advertising'","'E-Marketing', 'Communication skills', 'Communication', 'Skills', 'Market Research', 'Social Media', 'Marketing'",Data Analyst
Senior Business Analyst,Full Time,e-finance,"6th of October, Giza",'3 to 5 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development', 'Engineering - Telecom/Technology'","'Business Analysis', 'Computer Engineering', 'Business', 'Analysis', 'Arabic', 'Process', 'Data', 'Engineering', 'Testing', 'Documentation', 'Computer Science', 'Information Technology (IT)', 'English'",Data Analyst
Business Analyst,Full Time,BBI-Consultancy,"Nasr City, Cairo",'6 to 8 years','Experienced (Non-Manager)',"""Bachelor's Degree""",'Confidential',"'Analyst/Research', 'IT/Software Development'","'Business Analysis', 'Data Management', 'Analysis', 'Modeling', 'Tableau', 'SQL', 'SAP', 'Computer Science', 'Data', 'Information Technology (IT)'",Data Analyst
